Node Number	X Location (m)	Y Location (m)	Z Location (m)	Vector Deformation ()
22	1,8123	1,2807	1,4019	5,4573e-002	9,8436e-006	-6,0157e-002
23	1,8123	1,3122	1,4019	5,4573e-002	1,031e-005	-6,0157e-002
24	1,8123	1,3437	1,4019	5,4573e-002	1,0806e-005	-6,0157e-002
25	1,8123	1,3753	1,4019	5,4574e-002	1,1317e-005	-6,0157e-002
26	1,8123	1,4068	1,4019	5,4574e-002	1,185e-005	-6,0156e-002
27	1,8123	1,4383	1,4019	5,4575e-002	1,2426e-005	-6,0156e-002
28	1,8123	1,4695	1,4019	5,4576e-002	1,3054e-005	-6,0156e-002
77	1,83	1,4696	1,379	5,4579e-002	1,2343e-005	-6,0149e-002
78	1,83	1,4384	1,379	5,4578e-002	1,1854e-005	-6,015e-002
79	1,83	1,4068	1,379	5,4578e-002	1,1375e-005	-6,015e-002
80	1,83	1,3753	1,379	5,4577e-002	1,0903e-005	-6,015e-002
81	1,83	1,3438	1,379	5,4577e-002	1,043e-005	-6,0151e-002
82	1,83	1,3122	1,379	5,4576e-002	9,9487e-006	-6,0151e-002
83	1,83	1,2807	1,379	5,4576e-002	9,448e-006	-6,0151e-002
87	1,83	1,25	1,379	5,4576e-002	9,0773e-006	-6,0151e-002
91	1,83	1,5	1,379	5,4581e-002	1,2892e-005	-6,0149e-002
95	1,8123	1,5	1,4019	5,4578e-002	1,371e-005	-6,0155e-002
99	1,7947	1,5	1,4247	5,4574e-002	1,455e-005	-6,0162e-002
121	1,7947	1,2807	1,4247	5,4569e-002	1,0239e-005	-6,0164e-002
122	1,7947	1,3122	1,4247	5,4569e-002	1,0693e-005	-6,0164e-002
123	1,7947	1,3437	1,4247	5,4569e-002	1,119e-005	-6,0164e-002
124	1,7947	1,3752	1,4247	5,457e-002	1,1731e-005	-6,0164e-002
125	1,7947	1,4067	1,4247	5,4571e-002	1,2338e-005	-6,0163e-002
126	1,7947	1,4383	1,4247	5,4571e-002	1,3014e-005	-6,0163e-002
127	1,7947	1,4695	1,4247	5,4573e-002	1,3781e-005	-6,0163e-002
131	1,7947	1,25	1,4247	5,4569e-002	9,8463e-006	-6,0164e-002
135	1,8123	1,25	1,4019	5,4572e-002	9,4718e-006	-6,0157e-002
145	1,7763	1,4031	1,4472	5,4568e-002	1,4663e-005	-6,0172e-002
146	1,7763	1,4372	1,4472	5,4569e-002	1,5381e-005	-6,0172e-002
147	1,7763	1,4711	1,4472	5,4571e-002	1,6153e-005	-6,0171e-002
172	1,7947	1,4711	1,4247	5,4576e-002	1,537e-005	-6,0163e-002
173	1,7947	1,4373	1,4247	5,4575e-002	1,474e-005	-6,0163e-002
174	1,7947	1,4031	1,4247	5,4574e-002	1,4066e-005	-6,0163e-002
178	1,7947	1,375	1,4247	5,4573e-002	1,3537e-005	-6,0164e-002
182	1,7947	1,5	1,4247	5,4578e-002	1,5997e-005	-6,0162e-002
186	1,7763	1,5	1,4472	5,4572e-002	1,6873e-005	-6,0171e-002
190	1,758	1,5	1,4697	5,4566e-002	1,774e-005	-6,0181e-002
200	1,758	1,403	1,4697	5,4562e-002	1,5258e-005	-6,0183e-002
201	1,758	1,4372	1,4697	5,4563e-002	1,6037e-005	-6,0182e-002
202	1,758	1,471	1,4697	5,4564e-002	1,692e-005	-6,0182e-002
206	1,758	1,375	1,4697	5,4561e-002	1,4621e-005	-6,0183e-002
210	1,7763	1,375	1,4472	5,4568e-002	1,4096e-005	-6,0173e-002
220	1,7006	1,4051	1,5355	5,4538e-002	2,0115e-005	-6,0228e-002
221	1,7005	1,436	1,5355	5,4539e-002	2,0909e-005	-6,0228e-002
222	1,7005	1,4684	1,5356	5,4541e-002	2,1765e-005	-6,0227e-002
247	1,7199	1,4682	1,5141	5,4553e-002	2,1062e-005	-6,0209e-002
248	1,7199	1,4358	1,5141	5,4552e-002	2,0286e-005	-6,021e-002
249	1,7199	1,4051	1,5141	5,455e-002	1,9541e-005	-6,021e-002
253	1,7199	1,375	1,5141	5,455e-002	1,8775e-005	-6,0211e-002
257	1,7199	1,5	1,5141	5,4555e-002	2,1967e-005	-6,0208e-002
261	1,7004	1,5	1,5356	5,4543e-002	2,283e-005	-6,0226e-002
265	1,6806	1,5	1,5576	5,4528e-002	2,3449e-005	-6,0247e-002
275	1,6806	1,4052	1,5576	5,4523e-002	2,0679e-005	-6,025e-002
276	1,6806	1,4361	1,5576	5,4524e-002	2,1479e-005	-6,0249e-002
277	1,6806	1,4686	1,5576	5,4526e-002	2,2379e-005	-6,0248e-002
281	1,6806	1,375	1,5576	5,4522e-002	1,9686e-005	-6,025e-002
285	1,7006	1,375	1,5355	5,4537e-002	1,9231e-005	-6,0228e-002
295	1,619	1,4056	1,6212	5,4457e-002	2,4205e-005	-6,0351e-002
296	1,619	1,4384	1,6212	5,4459e-002	2,5138e-005	-6,035e-002
297	1,619	1,4708	1,6212	5,446e-002	2,6081e-005	-6,0349e-002
322	1,64	1,4708	1,6003	5,449e-002	2,5518e-005	-6,031e-002
323	1,64	1,4385	1,6003	5,4488e-002	2,4624e-005	-6,0311e-002
324	1,64	1,4056	1,6003	5,4487e-002	2,3733e-005	-6,0312e-002
328	1,64	1,375	1,6003	5,4486e-002	2,2692e-005	-6,0312e-002
332	1,64	1,5	1,6003	5,4492e-002	2,6563e-005	-6,0309e-002
336	1,619	1,5	1,6212	5,4462e-002	2,735e-005	-6,0348e-002
340	1,598	1,5	1,6422	5,4428e-002	2,7629e-005	-6,0392e-002
350	1,598	1,4056	1,6422	5,4423e-002	2,4612e-005	-6,0396e-002
351	1,598	1,4384	1,6422	5,4425e-002	2,5526e-005	-6,0395e-002
352	1,598	1,4708	1,6422	5,4426e-002	2,649e-005	-6,0394e-002
356	1,598	1,375	1,6422	5,4423e-002	2,3429e-005	-6,0396e-002
360	1,619	1,375	1,6212	5,4457e-002	2,3034e-005	-6,0351e-002
370	1,5323	1,4054	1,7035	5,4286e-002	2,6522e-005	-6,0591e-002
371	1,5323	1,4364	1,7034	5,4287e-002	2,7419e-005	-6,059e-002
372	1,5323	1,4685	1,7034	5,4289e-002	2,8342e-005	-6,0588e-002
397	1,5549	1,4686	1,6831	5,4344e-002	2,8123e-005	-6,0515e-002
398	1,5549	1,4365	1,6831	5,4343e-002	2,7201e-005	-6,0517e-002
399	1,5549	1,4055	1,6831	5,4341e-002	2,6332e-005	-6,0518e-002
403	1,5549	1,375	1,6831	5,4341e-002	2,5154e-005	-6,0519e-002
407	1,5549	1,5	1,6831	5,4347e-002	2,9312e-005	-6,0513e-002
411	1,5324	1,5	1,7034	5,4291e-002	2,9753e-005	-6,0586e-002
415	1,5105	1,5	1,723	5,4233e-002	2,9578e-005	-6,0662e-002
425	1,5105	1,4053	1,723	5,4228e-002	2,6604e-005	-6,0668e-002
426	1,5105	1,4362	1,723	5,4229e-002	2,7475e-005	-6,0666e-002
427	1,5105	1,4684	1,723	5,4231e-002	2,8391e-005	-6,0665e-002
431	1,5105	1,375	1,723	5,4227e-002	2,542e-005	-6,0669e-002
435	1,5323	1,375	1,7035	5,4285e-002	2,5273e-005	-6,0592e-002
445	1,4416	1,4032	1,7808	5,3137e-002	2,5982e-005	-6,2216e-002
446	1,4416	1,4372	1,7808	5,3139e-002	2,6898e-005	-6,2214e-002
447	1,4416	1,4711	1,7808	5,314e-002	2,7843e-005	-6,2212e-002
472	1,465	1,4711	1,7619	5,3532e-002	2,7924e-005	-6,1706e-002
473	1,465	1,4372	1,7619	5,353e-002	2,6961e-005	-6,1708e-002
474	1,465	1,4032	1,7619	5,3529e-002	2,6034e-005	-6,171e-002
478	1,465	1,375	1,7619	5,3528e-002	2,498e-005	-6,171e-002
482	1,465	1,5	1,7619	5,3534e-002	2,9028e-005	-6,1703e-002
486	1,4416	1,5	1,7808	5,3142e-002	2,9059e-005	-6,2209e-002
490	1,4183	1,5	1,7997	5,2745e-002	2,864e-005	-6,2721e-002
500	1,4183	1,4032	1,7997	5,2741e-002	2,5861e-005	-6,2727e-002
501	1,4183	1,4373	1,7997	5,2742e-002	2,6748e-005	-6,2725e-002
502	1,4183	1,4711	1,7997	5,2744e-002	2,7643e-005	-6,2723e-002
506	1,4183	1,375	1,7997	5,274e-002	2,4904e-005	-6,2728e-002
510	1,4416	1,375	1,7808	5,3137e-002	2,4957e-005	-6,2216e-002
520	1,346	1,4038	1,8542	5,1574e-002	2,4444e-005	-6,4356e-002
521	1,346	1,4368	1,8542	5,1575e-002	2,5233e-005	-6,4354e-002
522	1,346	1,4709	1,8542	5,1576e-002	2,6065e-005	-6,4352e-002
547	1,3705	1,4707	1,8364	5,1963e-002	2,6271e-005	-6,3798e-002
548	1,3705	1,4367	1,8364	5,1961e-002	2,5409e-005	-6,38e-002
